id,buyerName,lenderName,address,city,saleDate,saleValue,loanAmount
1667,DOWNS LEADER LLC,FRITSCHLE GRANT,407 W MARKET ST,SNOW HILL,2025-03-19,77000,79000
1668,MD HOMES 2 LLC,ISKA HOLDINGS LLC,507 N MONTFORD AVE,BALTIMORE,2025-03-19,120000,80000
1669,REGAL K PROPERTIES LLC,TRIUS LNDG PARTNERS REIT 1 LLC,1541 KINGSWAY RD,BALTIMORE,2025-03-18,161000,184900
1670,GMK PROPERTIES 1 LLC,PIMLICO GROUP LLC,5717 SIMMONDS AVE,BALTIMORE,2025-03-18,120000,180000
1671,FLMD INVESTMENTS LLC,MWC CF SPV LLC,5401 TRAMORE RD,BALTIMORE,2025-03-18,244000,255000
1672,BUILD IT BETTER LLC,USA REGROWTH FUND LLC,623 PITCHER ST,BALTIMORE,2025-03-18,37500,154000
1673,CRABTOWN CAPITOL LLC,WHITE WILLIAM,2730 KINSEY AVE,BALTIMORE,2025-03-18,47500,155000
1674,NELM CONSULTING LLC,KIAVI FUNDING INC,3705 GOUGH ST,BALTIMORE,2025-03-18,130000,216700
1675,RANDALLSTOWN HOLDINGS LLC,PIMLICO GROUP LLC,4021 ARDLEY AVE,BALTIMORE,2025-03-18,110000,123000
1676,CBD RENTALS LLC,UNITED EQUITY NETWORK LLC,3926 DUDLEY AVE,BALTIMORE,2025-03-18,125500,147500
1677,WEST DR LLC,CROSSCOUNTRY MORTGAGE LLC,7762 WEST DR,GLEN BURNIE,2025-03-18,550000,440000
1678,TYE HOMES LLC,KIAVI FUNDING INC,619 ALDERSHOT RD,BALTIMORE,2025-03-18,235000,293700
1679,TYE HOMES LLC,KIAVI FUNDING INC,BRAESIDE RD,BALTIMORE,2025-03-18,235000,293700
1680,LAUREL LOVELIES LLC,MD PRIVATE LENDER LLC,4712 OLD COURT RD,PIKESVILLE,2025-03-18,194750,285000
1681,DUVALS LLC,LOAN FUNDER LLC,7102 WALNUT AVE,PIKESVILLE,2025-03-18,260100,255000
1682,1721 BROADWAY LLC,BVVD 1721 LLC,1721 BROADWAY RD,LUTHERVILLE TIMONIUM,2025-03-18,6500000,5500000
1683,OMID LAND GROUP LLC,KARODEH YOUNESS,1204 SAINT ANDREWS WAY,BALTIMORE,2025-03-18,311000,310100
